stn,date,tmin,tmax,prcp,per_na_prcp,per_na_tmin,per_na_tmax
08HA072,1999-12-13,1.38,1.61,4.84,16.132,1.989,1.989
08HA072,1999-12-14,0.56,3.1,35.85,16.132,1.989,1.989
08HA072,1999-12-15,2.2,6.285,44.5,16.132,1.989,1.989
08HA072,1999-12-16,3.72,5.69,1.39,16.132,1.989,1.989
08HA072,1999-12-17,4.2,6.21,38.71,16.132,1.989,1.989
08HA072,1999-12-18,0.86,6.14,2.6,16.132,1.989,1.989
08HA072,1999-12-19,1.68,4.945,1.43,16.132,1.989,1.989
08HA072,1999-12-20,2.28,5.25,0.17,16.132,1.989,1.989
08HA072,1999-12-21,1.68,5.47,0.44,16.132,1.989,1.989
08HA072,1999-12-22,2.165,6.08,0.5,16.132,1.989,1.989
08HA072,1999-12-23,2.13,5.925,0.52,16.132,1.989,1.989
08HA072,1999-12-24,1.685,6.29,0.44,16.132,1.989,1.989
08HA072,1999-12-25,2.2,6.08,0.46,16.132,1.989,1.989
08HA072,1999-12-26,2.95,7.19,0.42,16.132,1.989,1.989
08HA072,1999-12-27,2.72,8.08,0.66,16.132,1.989,1.989
08HA072,1999-12-28,1.16,6.48,0.54,16.132,1.989,1.989
08HA072,1999-12-29,2.28,3.62,0.3,16.132,1.989,1.989
08HA072,1999-12-30,1.865,3.92,5.66,16.132,1.989,1.989
08HA072,1999-12-31,1.495,5.69,25.16,16.132,1.989,1.989
08HA072,2000-01-01,1.09,2.72,3.44,16.132,1.989,1.989
08HA072,2000-01-02,0.265,1.68,4.48,16.132,1.989,1.989
08HA072,2000-01-03,0.86,3.69,36.89,16.132,1.989,1.989
08HA072,2000-01-04,1.38,3.92,9.98,16.132,1.989,1.989
08HA072,2000-01-05,1.16,3.025,1.49,16.132,1.989,1.989
08HA072,2000-01-06,1.46,2.28,13.94,16.132,1.989,1.989
08HA072,2000-01-07,0.975,5.18,32.77,16.132,1.989,1.989
08HA072,2000-01-08,1.09,4.36,26.99,16.132,1.989,1.989
08HA072,2000-01-09,-0.02,1.68,12.66,16.132,1.989,1.989
08HA072,2000-01-10,-1.44,1.23,11.11,16.132,1.989,1.989
08HA072,2000-01-11,-1.81,1.01,18.36,16.132,1.989,1.989
08HA072,2000-01-12,-0.955,1.495,20.12,16.132,1.989,1.989
08HA072,2000-01-13,0.34,2.28,19.96,16.132,1.989,1.989
08HA072,2000-01-14,1.16,1.68,42.01,16.132,1.989,1.989
08HA072,2000-01-15,0.42,1.975,15.24,16.132,1.989,1.989
08HA072,2000-01-16,1.09,2.05,46.85,16.132,1.989,1.989
08HA072,2000-01-17,-0.99,2.315,6.17,16.132,1.989,1.989
08HA072,2000-01-18,-2.69,1.98,0.52,16.132,1.989,1.989
08HA072,2000-01-19,-3.035,0.9,10.63,16.132,1.989,1.989
08HA072,2000-01-20,0.42,1.755,5,16.132,1.989,1.989
08HA072,2000-01-21,1.195,2.42,1.63,16.132,1.989,1.989
08HA072,2000-01-22,1.53,2.455,0.36,16.132,1.989,1.989
08HA072,2000-01-23,-0.84,3.385,0.65,16.132,1.989,1.989
08HA072,2000-01-24,-1.025,2.275,4.51,16.132,1.989,1.989
08HA072,2000-01-25,1.235,2.2,6.76,16.132,1.989,1.989
08HA072,2000-01-26,1.09,3.055,1.37,16.132,1.989,1.989
08HA072,2000-01-27,-0.62,3.31,0.77,16.132,1.989,1.989
08HA072,2000-01-28,-0.99,2.65,0.79,16.132,1.989,1.989
08HA072,2000-01-29,-0.845,3.06,0.75,16.132,1.989,1.989
08HA072,2000-01-30,0.56,5.335,11.24,16.132,1.989,1.989
08HA072,2000-01-31,1.9,5.25,35.53,16.132,1.989,1.989
08HA072,2000-02-01,1.01,4.81,28.17,16.132,1.989,1.989
08HA072,2000-02-02,0.9,3.84,0.62,16.132,1.989,1.989
08HA072,2000-02-03,0.64,4.43,0.62,16.132,1.989,1.989
08HA072,2000-02-04,0.49,4.36,0.76,16.132,1.989,1.989
08HA072,2000-02-05,0.79,4.28,4,16.132,1.989,1.989
08HA072,2000-02-06,2.465,3.395,3.64,16.132,1.989,1.989
08HA072,2000-02-07,2.43,3.77,13.71,16.132,1.989,1.989
08HA072,2000-02-08,1.76,3.545,24.84,16.132,1.989,1.989
08HA072,2000-02-09,0.34,3.61,1.47,16.132,1.989,1.989
08HA072,2000-02-10,-0.545,3.83,0.24,16.132,1.989,1.989
08HA072,2000-02-11,0.79,3.135,2.25,16.132,1.989,1.989
08HA072,2000-02-12,-1.215,3.01,2.38,16.132,1.989,1.989
08HA072,2000-02-13,-0.99,3.9,0.91,16.132,1.989,1.989
08HA072,2000-02-14,0.55,4.17,1.61,16.132,1.989,1.989
