stn,date,tmin,tmax,prcp,per_na_prcp,per_na_tmin,per_na_tmax
M107004,1994-11-21,-2.3,-1.3,NA,100,31.422,31.422
M107004,1994-11-22,-7.2,2.4,NA,100,31.422,31.422
M107004,1994-11-23,-11.5,-1.4,NA,100,31.422,31.422
M107004,1994-11-24,-4.1,0,NA,100,31.422,31.422
M107004,1994-11-25,-5.3,-1.8,NA,100,31.422,31.422
M107004,1994-11-26,-7.2,-3.5,NA,100,31.422,31.422
M107004,1994-11-27,-8,0.6,NA,100,31.422,31.422
M107004,1994-11-28,-11.8,-0.2,NA,100,31.422,31.422
M107004,1994-11-29,-5.6,0.8,NA,100,31.422,31.422
M107004,1994-11-30,-2.8,4.9,NA,100,31.422,31.422
M107004,1994-12-01,-11,-3.3,NA,100,31.422,31.422
M107004,1994-12-02,-26.8,-11.8,NA,100,31.422,31.422
M107004,1994-12-03,-29.4,-17.8,NA,100,31.422,31.422
M107004,1994-12-04,-22,-15.9,NA,100,31.422,31.422
M107004,1994-12-05,-16.5,-10.9,NA,100,31.422,31.422
M107004,1994-12-06,-17.2,-10.6,NA,100,31.422,31.422
M107004,1994-12-07,-19.2,-6.6,NA,100,31.422,31.422
M107004,1994-12-08,-7.7,-3.5,NA,100,31.422,31.422
M107004,1994-12-09,-9.4,-4.4,NA,100,31.422,31.422
M107004,1994-12-10,-6.3,-4,NA,100,31.422,31.422
M107004,1994-12-11,-6.9,-2.2,NA,100,31.422,31.422
M107004,1994-12-12,-5.7,-4.7,NA,100,31.422,31.422
M107004,1994-12-13,-5.3,-2.4,NA,100,31.422,31.422
M107004,1994-12-14,-6.3,-3.3,NA,100,31.422,31.422
M107004,1994-12-15,-10,-4.3,NA,100,31.422,31.422
M107004,1994-12-16,-5.2,-2.9,NA,100,31.422,31.422
M107004,1994-12-17,-5.1,4.2,NA,100,31.422,31.422
M107004,1994-12-18,-2.9,3.9,NA,100,31.422,31.422
M107004,1994-12-19,-2.4,4.5,NA,100,31.422,31.422
M107004,1994-12-20,-5.9,0.5,NA,100,31.422,31.422
M107004,1994-12-21,-4.8,5.8,NA,100,31.422,31.422
M107004,1994-12-22,0.1,5.7,NA,100,31.422,31.422
M107004,1994-12-23,-0.9,1.9,NA,100,31.422,31.422
M107004,1994-12-24,-3.4,3.5,NA,100,31.422,31.422
M107004,1994-12-25,-8.6,-4.2,NA,100,31.422,31.422
M107004,1994-12-26,-12.6,-0.7,NA,100,31.422,31.422
M107004,1994-12-27,-17.9,-9.2,NA,100,31.422,31.422
M107004,1994-12-28,-17.2,-4.4,NA,100,31.422,31.422
M107004,1994-12-29,-18.2,-12.5,NA,100,31.422,31.422
M107004,1994-12-30,-15.5,-8.4,NA,100,31.422,31.422
M107004,1994-12-31,-17.6,-9.1,NA,100,31.422,31.422
M107004,1995-01-01,-20.7,-11,NA,100,31.422,31.422
M107004,1995-01-02,-23.1,-13.3,NA,100,31.422,31.422
M107004,1995-01-03,-23.7,-15.8,NA,100,31.422,31.422
M107004,1995-01-04,-26,-17.9,NA,100,31.422,31.422
M107004,1995-01-05,-26.2,-17.4,NA,100,31.422,31.422
M107004,1995-01-06,-27.2,-16.7,NA,100,31.422,31.422
M107004,1995-01-07,-24.8,-18.8,NA,100,31.422,31.422
M107004,1995-01-08,-19.2,-12.3,NA,100,31.422,31.422
M107004,1995-01-09,-14.9,-8.9,NA,100,31.422,31.422
M107004,1995-01-10,-8.9,-3.7,NA,100,31.422,31.422
M107004,1995-01-11,-7.9,-4.6,NA,100,31.422,31.422
M107004,1995-01-12,-9.4,-4.7,NA,100,31.422,31.422
M107004,1995-01-13,-6.2,-2.6,NA,100,31.422,31.422
M107004,1995-01-14,-3.5,0.1,NA,100,31.422,31.422
M107004,1995-01-15,-2.1,-0.5,NA,100,31.422,31.422
M107004,1995-01-16,-9.7,-0.9,NA,100,31.422,31.422
M107004,1995-01-17,-8.8,-3.5,NA,100,31.422,31.422
M107004,1995-01-18,-8.8,-1.9,NA,100,31.422,31.422
M107004,1995-01-19,-8.6,0,NA,100,31.422,31.422
M107004,1995-01-20,-11.5,-1.8,NA,100,31.422,31.422
M107004,1995-01-21,-13.8,-5.1,NA,100,31.422,31.422
M107004,1995-01-22,-9.4,-6.9,NA,100,31.422,31.422
M107004,1995-01-23,-11.4,-8.4,NA,100,31.422,31.422
M107004,1995-01-24,-16.2,-10.3,NA,100,31.422,31.422
M107004,1995-01-25,-16.9,-9.1,NA,100,31.422,31.422
M107004,1995-01-26,-10.5,-4.3,NA,100,31.422,31.422
M107004,1995-01-27,-10.5,-1.6,NA,100,31.422,31.422
M107004,1995-01-28,-6.4,-1.5,NA,100,31.422,31.422
M107004,1995-01-29,-7.2,1.5,NA,100,31.422,31.422
M107004,1995-01-30,-10.7,-2,NA,100,31.422,31.422
M107004,1995-01-31,-3.6,0.9,NA,100,31.422,31.422
M107004,1995-02-01,-3.3,6.4,NA,100,31.422,31.422
M107004,1995-02-02,-3.5,2.9,NA,100,31.422,31.422
M107004,1995-02-03,-3.8,5.4,NA,100,31.422,31.422
