stn,date,tmin,tmax,prcp,per_na_prcp,per_na_tmin,per_na_tmax
1A01P,1996-09-13,6.4,13.6,5,2.772,2.568,2.568
1A01P,1996-09-14,3.5,11.6,2,2.772,2.568,2.568
1A01P,1996-09-15,0.4,8.4,5,2.772,2.568,2.568
1A01P,1996-09-16,0.2,9.8,2,2.772,2.568,2.568
1A01P,1996-09-17,-3.3,13.3,0,2.772,2.568,2.568
1A01P,1996-09-18,0,16.8,0,2.772,2.568,2.568
1A01P,1996-09-19,1.9,7,1,2.772,2.568,2.568
1A01P,1996-09-20,-3.1,5.6,2,2.772,2.568,2.568
1A01P,1996-09-21,-3.3,3.8,4,2.772,2.568,2.568
1A01P,1996-09-22,-4,5.4,3,2.772,2.568,2.568
1A01P,1996-09-23,-6.3,4.2,0,2.772,2.568,2.568
1A01P,1996-09-24,-5.6,8.1,0,2.772,2.568,2.568
1A01P,1996-09-25,-3.6,6.2,0,2.772,2.568,2.568
1A01P,1996-09-26,-1.3,14.1,0,2.772,2.568,2.568
1A01P,1996-09-27,4.1,9.6,23,2.772,2.568,2.568
1A01P,1996-09-28,4.8,9.8,1,2.772,2.568,2.568
1A01P,1996-09-29,3.8,9.6,0,2.772,2.568,2.568
1A01P,1996-09-30,-6.6,7,2,2.772,2.568,2.568
1A01P,1996-10-01,-8.7,6,0,2.772,2.568,2.568
1A01P,1996-10-02,-3.9,11.5,0,2.772,2.568,2.568
1A01P,1996-10-03,4.1,7.3,2,2.772,2.568,2.568
1A01P,1996-10-04,3.5,6.2,13,2.772,2.568,2.568
1A01P,1996-10-05,-1,5.7,1,2.772,2.568,2.568
1A01P,1996-10-06,-2.3,4.7,0,2.772,2.568,2.568
1A01P,1996-10-07,2.4,7.6,2,2.772,2.568,2.568
1A01P,1996-10-08,3.2,10.6,0,2.772,2.568,2.568
1A01P,1996-10-09,3.5,15.6,0,2.772,2.568,2.568
1A01P,1996-10-10,5.1,12.5,9,2.772,2.568,2.568
1A01P,1996-10-11,0.3,4.6,0,2.772,2.568,2.568
1A01P,1996-10-12,-4,9.2,2,2.772,2.568,2.568
1A01P,1996-10-13,0.2,2.9,3,2.772,2.568,2.568
1A01P,1996-10-14,-2.2,0.2,10,2.772,2.568,2.568
1A01P,1996-10-15,-5.1,-1.5,2,2.772,2.568,2.568
1A01P,1996-10-16,-8.4,-4.3,0,2.772,2.568,2.568
1A01P,1996-10-17,-8.5,-2.2,5,2.772,2.568,2.568
1A01P,1996-10-18,-6.9,-0.4,7,2.772,2.568,2.568
1A01P,1996-10-19,-5.8,0.1,0,2.772,2.568,2.568
1A01P,1996-10-20,-11.8,0.9,3,2.772,2.568,2.568
1A01P,1996-10-21,-7.1,-3.3,10,2.772,2.568,2.568
1A01P,1996-10-22,-4.9,-0.3,1,2.772,2.568,2.568
1A01P,1996-10-23,-5.4,-0.9,5,2.772,2.568,2.568
1A01P,1996-10-24,-5,-0.3,3,2.772,2.568,2.568
1A01P,1996-10-25,-8.6,-1.2999999999999998,1,2.772,2.568,2.568
1A01P,1996-10-26,-12.2,-2.3,2,2.772,2.568,2.568
1A01P,1996-10-27,-5.7,-1.2,16,2.772,2.568,2.568
1A01P,1996-10-28,-5.2,2.1,6,2.772,2.568,2.568
1A01P,1996-10-29,-18.9,-3.9,1,2.772,2.568,2.568
1A01P,1996-10-30,-15.4,1.6,0,2.772,2.568,2.568
1A01P,1996-10-31,-10.9,8.3,0,2.772,2.568,2.568
1A01P,1996-11-01,-5.5,5,0,2.772,2.568,2.568
1A01P,1996-11-02,-0.4,1,3,2.772,2.568,2.568
1A01P,1996-11-03,-3.8,-0.4,5,2.772,2.568,2.568
1A01P,1996-11-04,-10.6,-0.5,0,2.772,2.568,2.568
1A01P,1996-11-05,-9.1,-4.1,4,2.772,2.568,2.568
1A01P,1996-11-06,-7.7,-4.2,4,2.772,2.568,2.568
1A01P,1996-11-07,-10.4,-6.1,12,2.772,2.568,2.568
1A01P,1996-11-08,-8.9,-3.1,11,2.772,2.568,2.568
1A01P,1996-11-09,-5.2,0.3,7,2.772,2.568,2.568
1A01P,1996-11-10,-7.2,0.1,4,2.772,2.568,2.568
1A01P,1996-11-11,-10.5,-0.9,1,2.772,2.568,2.568
1A01P,1996-11-12,-4.8,4,0,2.772,2.568,2.568
1A01P,1996-11-13,-0.8,4,18,2.772,2.568,2.568
1A01P,1996-11-14,-7.8,0.4,4,2.772,2.568,2.568
1A01P,1996-11-15,-19.5,-16.2,1,2.772,2.568,2.568
1A01P,1996-11-16,-22.6,-17.7,3,2.772,2.568,2.568
1A01P,1996-11-17,-25.2,-22.3,1,2.772,2.568,2.568
1A01P,1996-11-18,-27.6,-22.5,1,2.772,2.568,2.568
1A01P,1996-11-19,-27.7,-20.9,1,2.772,2.568,2.568
1A01P,1996-11-20,-29,-21.8,0,2.772,2.568,2.568
1A01P,1996-11-21,-29.3,-19.1,0,2.772,2.568,2.568
1A01P,1996-11-22,-26.9,-22.8,0,2.772,2.568,2.568
1A01P,1996-11-23,-28.5,-11.7,0,2.772,2.568,2.568
1A01P,1996-11-24,-19.7,-5,0,2.772,2.568,2.568
1A01P,1996-11-25,-12,-1.7,0,2.772,2.568,2.568
1A01P,1996-11-26,-10.5,-6,2,2.772,2.568,2.568
1A01P,1996-11-27,-7.8,-3.5,1,2.772,2.568,2.568
1A01P,1996-11-28,-11.5,-2.7,0,2.772,2.568,2.568
1A01P,1996-11-29,-15.3,-7.7,1,2.772,2.568,2.568
1A01P,1996-11-30,-13.2,-5.2,0,2.772,2.568,2.568
1A01P,1996-12-01,-7.8,-4.2,4,2.772,2.568,2.568
1A01P,1996-12-02,-15.2,-7.5,0,2.772,2.568,2.568
1A01P,1996-12-03,-16.6,-7.6,0,2.772,2.568,2.568
1A01P,1996-12-04,-14.233333333333334,-7.233333333333333,4,2.772,2.568,2.568
1A01P,1996-12-05,-11.866666666666667,-6.866666666666666,1,2.772,2.568,2.568
1A01P,1996-12-06,-9.5,-6.5,0,2.772,2.568,2.568
1A01P,1996-12-07,-10.9,-6.2,0,2.772,2.568,2.568
1A01P,1996-12-08,-9.7,-4.4,4,2.772,2.568,2.568
1A01P,1996-12-09,-13,-6.6,1,2.772,2.568,2.568
1A01P,1996-12-10,-13.2,-3.6,0,2.772,2.568,2.568
1A01P,1996-12-11,-10.1,-6.6,2,2.772,2.568,2.568
1A01P,1996-12-12,-13.5,-6.6,0,2.772,2.568,2.568
1A01P,1996-12-13,-15.3,-6.4,0,2.772,2.568,2.568
1A01P,1996-12-14,-14.6,-6.1,0,2.772,2.568,2.568
1A01P,1996-12-15,-10,-6.4,6,2.772,2.568,2.568
1A01P,1996-12-16,-19.3,-10,0,2.772,2.568,2.568
1A01P,1996-12-17,-21.6,-8.6,0,2.772,2.568,2.568
1A01P,1996-12-18,-12.8,-2.1,0,2.772,2.568,2.568
1A01P,1996-12-19,-10,-4.3,12,2.772,2.568,2.568
1A01P,1996-12-20,-17.3,-9.5,4,2.772,2.568,2.568
1A01P,1996-12-21,-28.3,-24.5,2,2.772,2.568,2.568
1A01P,1996-12-22,-32.1,-30,0,2.772,2.568,2.568
1A01P,1996-12-23,-32.8,-25,0,2.772,2.568,2.568
1A01P,1996-12-24,-26.9,-14.7,0,2.772,2.568,2.568
1A01P,1996-12-25,-28.1,-17,0,2.772,2.568,2.568
1A01P,1996-12-26,-28.4,-20.9,0,2.772,2.568,2.568
1A01P,1996-12-27,-31.4,-27.7,0,2.772,2.568,2.568
1A01P,1996-12-28,-38.1,-28,6,2.772,2.568,2.568
1A01P,1996-12-29,-35.3,-11.1,6,2.772,2.568,2.568
1A01P,1996-12-30,-26.5,-3.9,5,2.772,2.568,2.568
1A01P,1996-12-31,-6.9,-1.3,31,2.772,2.568,2.568
1A01P,1997-01-01,-3.9,-1.4,23,2.772,2.568,2.568
1A01P,1997-01-02,-5,-1.9,3,2.772,2.568,2.568
1A01P,1997-01-03,-9.1,-4,3,2.772,2.568,2.568
1A01P,1997-01-04,-13.1,-7.6,2,2.772,2.568,2.568
1A01P,1997-01-05,-17.2,-10.2,11,2.772,2.568,2.568
1A01P,1997-01-06,-14.6,-8.3,4,2.772,2.568,2.568
1A01P,1997-01-07,-10,-4.5,3,2.772,2.568,2.568
1A01P,1997-01-08,-6.7,-3.6,7,2.772,2.568,2.568
1A01P,1997-01-09,-8.1,-2.4,8,2.772,2.568,2.568
1A01P,1997-01-10,-8.1,-0.7,0,2.772,2.568,2.568
1A01P,1997-01-11,-12.8,-2.8,5,2.772,2.568,2.568
1A01P,1997-01-12,-13.8,-1,0,2.772,2.568,2.568
1A01P,1997-01-13,-11.5,1.7,0,2.772,2.568,2.568
1A01P,1997-01-14,-8.8,-0.5,0,2.772,2.568,2.568
1A01P,1997-01-15,-13.7,-6.2,0,2.772,2.568,2.568
1A01P,1997-01-16,-16.8,-4,7,2.772,2.568,2.568
1A01P,1997-01-17,-13,-2.5,4,2.772,2.568,2.568
1A01P,1997-01-18,-8.3,-3.5,8,2.772,2.568,2.568
1A01P,1997-01-19,-6.5,-0.5,15,2.772,2.568,2.568
1A01P,1997-01-20,-2.9,0.2,11,2.772,2.568,2.568
1A01P,1997-01-21,-9.6,-7.1,3,2.772,2.568,2.568
1A01P,1997-01-22,-10.4,-4.4,7,2.772,2.568,2.568
1A01P,1997-01-23,-23.8,-16.9,8,2.772,2.568,2.568
1A01P,1997-01-24,-33.3,-27,0,2.772,2.568,2.568
1A01P,1997-01-25,-35.9,-15.7,0,2.772,2.568,2.568
1A01P,1997-01-26,-31.5,-16,0,2.772,2.568,2.568
1A01P,1997-01-27,-24.5,-9.1,14,2.772,2.568,2.568
1A01P,1997-01-28,-13.1,-5.4,1,2.772,2.568,2.568
1A01P,1997-01-29,-8,-3,23,2.772,2.568,2.568
1A01P,1997-01-30,-4.2,-1.6,0,2.772,2.568,2.568
1A01P,1997-01-31,-5.3,-0.8,2,2.772,2.568,2.568
1A01P,1997-02-01,-11.9,-1.7,4,2.772,2.568,2.568
1A01P,1997-02-02,-9.6,-1.2,0,2.772,2.568,2.568
1A01P,1997-02-03,-14.6,-2.9,0,2.772,2.568,2.568
1A01P,1997-02-04,-15,4.1,0,2.772,2.568,2.568
1A01P,1997-02-05,-13.4,7.3,4,2.772,2.568,2.568
