stn,date,tmin,tmax,prcp,per_na_prcp,per_na_tmin,per_na_tmax
1958,1980-10-01,NA,NA,0.891,2.368,22.11,22.11
1958,1980-10-02,NA,NA,0.644,2.368,22.11,22.11
1958,1980-10-03,NA,NA,0.771,2.368,22.11,22.11
1958,1980-10-04,NA,NA,0.165,2.368,22.11,22.11
1958,1980-10-05,NA,NA,0.594,2.368,22.11,22.11
1958,1980-10-06,NA,NA,0.665,2.368,22.11,22.11
1958,1980-10-07,NA,NA,0,2.368,22.11,22.11
1958,1980-10-08,NA,NA,1.1,2.368,22.11,22.11
1958,1980-10-09,NA,NA,0,2.368,22.11,22.11
1958,1980-10-10,NA,NA,0,2.368,22.11,22.11
1958,1980-10-11,NA,NA,0,2.368,22.11,22.11
1958,1980-10-12,NA,NA,0,2.368,22.11,22.11
1958,1980-10-13,NA,NA,10,2.368,22.11,22.11
1958,1980-10-14,NA,NA,1.6,2.368,22.11,22.11
1958,1980-10-15,NA,NA,0,2.368,22.11,22.11
1958,1980-10-16,NA,NA,0,2.368,22.11,22.11
1958,1980-10-17,NA,NA,0,2.368,22.11,22.11
1958,1980-10-18,NA,NA,0,2.368,22.11,22.11
1958,1980-10-19,NA,NA,0.2,2.368,22.11,22.11
1958,1980-10-20,NA,NA,1.2,2.368,22.11,22.11
1958,1980-10-21,NA,NA,0,2.368,22.11,22.11
1958,1980-10-22,NA,NA,0,2.368,22.11,22.11
1958,1980-10-23,NA,NA,0,2.368,22.11,22.11
1958,1980-10-24,NA,NA,0,2.368,22.11,22.11
1958,1980-10-25,NA,NA,0.6,2.368,22.11,22.11
1958,1980-10-26,NA,NA,0.6,2.368,22.11,22.11
1958,1980-10-27,NA,NA,0,2.368,22.11,22.11
1958,1980-10-28,NA,NA,0,2.368,22.11,22.11
1958,1980-10-29,NA,NA,0,2.368,22.11,22.11
1958,1980-10-30,NA,NA,0,2.368,22.11,22.11
1958,1980-10-31,NA,NA,0,2.368,22.11,22.11
1958,1980-11-01,NA,NA,0,2.368,22.11,22.11
1958,1980-11-02,NA,NA,0,2.368,22.11,22.11
1958,1980-11-03,NA,NA,0,2.368,22.11,22.11
1958,1980-11-04,NA,NA,0,2.368,22.11,22.11
1958,1980-11-05,NA,NA,0,2.368,22.11,22.11
1958,1980-11-06,NA,NA,3.2,2.368,22.11,22.11
1958,1980-11-07,NA,NA,1.4,2.368,22.11,22.11
1958,1980-11-08,NA,NA,0,2.368,22.11,22.11
1958,1980-11-09,NA,NA,5.9,2.368,22.11,22.11
1958,1980-11-10,NA,NA,0,2.368,22.11,22.11
1958,1980-11-11,NA,NA,0,2.368,22.11,22.11
1958,1980-11-12,NA,NA,0,2.368,22.11,22.11
1958,1980-11-13,NA,NA,0,2.368,22.11,22.11
1958,1980-11-14,NA,NA,0,2.368,22.11,22.11
1958,1980-11-15,NA,NA,0,2.368,22.11,22.11
1958,1980-11-16,NA,NA,0,2.368,22.11,22.11
1958,1980-11-17,NA,NA,0,2.368,22.11,22.11
1958,1980-11-18,NA,NA,0,2.368,22.11,22.11
1958,1980-11-19,NA,NA,0,2.368,22.11,22.11
1958,1980-11-20,NA,NA,0,2.368,22.11,22.11
1958,1980-11-21,NA,NA,1,2.368,22.11,22.11
1958,1980-11-22,NA,NA,0,2.368,22.11,22.11
1958,1980-11-23,NA,NA,0,2.368,22.11,22.11
1958,1980-11-24,NA,NA,0,2.368,22.11,22.11
1958,1980-11-25,NA,NA,0,2.368,22.11,22.11
1958,1980-11-26,NA,NA,0,2.368,22.11,22.11
1958,1980-11-27,NA,NA,0,2.368,22.11,22.11
1958,1980-11-28,NA,NA,0,2.368,22.11,22.11
1958,1980-11-29,NA,NA,0,2.368,22.11,22.11
1958,1980-11-30,NA,NA,0,2.368,22.11,22.11
1958,1980-12-01,NA,NA,0.4,2.368,22.11,22.11
1958,1980-12-02,NA,NA,4.4,2.368,22.11,22.11
1958,1980-12-03,NA,NA,10.6,2.368,22.11,22.11
1958,1980-12-04,NA,NA,3.6,2.368,22.11,22.11
1958,1980-12-05,NA,NA,1.6,2.368,22.11,22.11
1958,1980-12-06,NA,NA,0.6,2.368,22.11,22.11
1958,1980-12-07,NA,NA,0.6,2.368,22.11,22.11
1958,1980-12-08,NA,NA,10,2.368,22.11,22.11
1958,1980-12-09,NA,NA,5,2.368,22.11,22.11
1958,1980-12-10,NA,NA,0.4,2.368,22.11,22.11
1958,1980-12-11,NA,NA,0,2.368,22.11,22.11
1958,1980-12-12,NA,NA,0,2.368,22.11,22.11
1958,1980-12-13,NA,NA,0,2.368,22.11,22.11
1958,1980-12-14,NA,NA,0,2.368,22.11,22.11
1958,1980-12-15,NA,NA,0,2.368,22.11,22.11
1958,1980-12-16,NA,NA,0,2.368,22.11,22.11
1958,1980-12-17,NA,NA,0,2.368,22.11,22.11
1958,1980-12-18,NA,NA,0,2.368,22.11,22.11
1958,1980-12-19,NA,NA,0,2.368,22.11,22.11
1958,1980-12-20,NA,NA,2.4,2.368,22.11,22.11
1958,1980-12-21,NA,NA,3.2,2.368,22.11,22.11
1958,1980-12-22,NA,NA,4,2.368,22.11,22.11
1958,1980-12-23,NA,NA,0,2.368,22.11,22.11
1958,1980-12-24,NA,NA,0,2.368,22.11,22.11
1958,1980-12-25,NA,NA,0.6,2.368,22.11,22.11
1958,1980-12-26,NA,NA,0,2.368,22.11,22.11
1958,1980-12-27,NA,NA,0,2.368,22.11,22.11
1958,1980-12-28,NA,NA,0,2.368,22.11,22.11
1958,1980-12-29,NA,NA,0,2.368,22.11,22.11
1958,1980-12-30,NA,NA,0,2.368,22.11,22.11
1958,1980-12-31,NA,NA,0,2.368,22.11,22.11
1958,1981-01-01,NA,NA,0,2.368,22.11,22.11
1958,1981-01-02,NA,NA,0.3,2.368,22.11,22.11
1958,1981-01-03,NA,NA,0,2.368,22.11,22.11
1958,1981-01-04,NA,NA,0,2.368,22.11,22.11
1958,1981-01-05,NA,NA,0,2.368,22.11,22.11
1958,1981-01-06,NA,NA,7,2.368,22.11,22.11
1958,1981-01-07,NA,NA,3.8,2.368,22.11,22.11
1958,1981-01-08,NA,NA,0,2.368,22.11,22.11
1958,1981-01-09,NA,NA,5.8,2.368,22.11,22.11
1958,1981-01-10,NA,NA,0,2.368,22.11,22.11
1958,1981-01-11,NA,NA,0,2.368,22.11,22.11
1958,1981-01-12,NA,NA,0,2.368,22.11,22.11
1958,1981-01-13,NA,NA,0,2.368,22.11,22.11
1958,1981-01-14,NA,NA,0,2.368,22.11,22.11
1958,1981-01-15,NA,NA,0.5,2.368,22.11,22.11
1958,1981-01-16,NA,NA,0,2.368,22.11,22.11
1958,1981-01-17,NA,NA,0,2.368,22.11,22.11
1958,1981-01-18,NA,NA,2,2.368,22.11,22.11
1958,1981-01-19,NA,NA,0,2.368,22.11,22.11
1958,1981-01-20,NA,NA,0,2.368,22.11,22.11
1958,1981-01-21,NA,NA,0,2.368,22.11,22.11
1958,1981-01-22,NA,NA,0,2.368,22.11,22.11
1958,1981-01-23,NA,NA,0,2.368,22.11,22.11
1958,1981-01-24,NA,NA,0,2.368,22.11,22.11
1958,1981-01-25,NA,NA,2.3,2.368,22.11,22.11
1958,1981-01-26,NA,NA,1.3,2.368,22.11,22.11
1958,1981-01-27,NA,NA,0,2.368,22.11,22.11
1958,1981-01-28,NA,NA,0,2.368,22.11,22.11
1958,1981-01-29,NA,NA,1.2,2.368,22.11,22.11
1958,1981-01-30,NA,NA,3.4,2.368,22.11,22.11
1958,1981-01-31,NA,NA,2,2.368,22.11,22.11
1958,1981-02-01,NA,NA,0.2,2.368,22.11,22.11
1958,1981-02-02,NA,NA,0,2.368,22.11,22.11
1958,1981-02-03,NA,NA,0,2.368,22.11,22.11
1958,1981-02-04,NA,NA,0,2.368,22.11,22.11
1958,1981-02-05,NA,NA,0,2.368,22.11,22.11
1958,1981-02-06,NA,NA,2,2.368,22.11,22.11
1958,1981-02-07,NA,NA,8.2,2.368,22.11,22.11
1958,1981-02-08,NA,NA,0,2.368,22.11,22.11
1958,1981-02-09,NA,NA,0,2.368,22.11,22.11
1958,1981-02-10,NA,NA,0.2,2.368,22.11,22.11
1958,1981-02-11,NA,NA,0.3,2.368,22.11,22.11
1958,1981-02-12,NA,NA,0,2.368,22.11,22.11
1958,1981-02-13,NA,NA,0,2.368,22.11,22.11
1958,1981-02-14,NA,NA,0,2.368,22.11,22.11
1958,1981-02-15,NA,NA,0,2.368,22.11,22.11
1958,1981-02-16,NA,NA,0,2.368,22.11,22.11
1958,1981-02-17,NA,NA,0,2.368,22.11,22.11
1958,1981-02-18,NA,NA,0,2.368,22.11,22.11
1958,1981-02-19,NA,NA,0,2.368,22.11,22.11
1958,1981-02-20,NA,NA,0,2.368,22.11,22.11
1958,1981-02-21,NA,NA,0,2.368,22.11,22.11
1958,1981-02-22,NA,NA,0,2.368,22.11,22.11
1958,1981-02-23,NA,NA,0,2.368,22.11,22.11
1958,1981-02-24,NA,NA,0,2.368,22.11,22.11
1958,1981-02-25,NA,NA,2,2.368,22.11,22.11
1958,1981-02-26,NA,NA,0,2.368,22.11,22.11
1958,1981-02-27,NA,NA,0,2.368,22.11,22.11
1958,1981-02-28,NA,NA,0,2.368,22.11,22.11
1958,1981-03-01,NA,NA,0,2.368,22.11,22.11
1958,1981-03-02,NA,NA,0,2.368,22.11,22.11
1958,1981-03-03,NA,NA,0,2.368,22.11,22.11
1958,1981-03-04,NA,NA,1.2,2.368,22.11,22.11
1958,1981-03-05,NA,NA,3.2,2.368,22.11,22.11
1958,1981-03-06,NA,NA,0,2.368,22.11,22.11
1958,1981-03-07,NA,NA,0,2.368,22.11,22.11
1958,1981-03-08,NA,NA,0,2.368,22.11,22.11
1958,1981-03-09,NA,NA,0,2.368,22.11,22.11
1958,1981-03-10,NA,NA,0,2.368,22.11,22.11
1958,1981-03-11,NA,NA,0,2.368,22.11,22.11
1958,1981-03-12,NA,NA,0,2.368,22.11,22.11
1958,1981-03-13,NA,NA,0,2.368,22.11,22.11
1958,1981-03-14,NA,NA,0,2.368,22.11,22.11
1958,1981-03-15,NA,NA,0,2.368,22.11,22.11
1958,1981-03-16,NA,NA,3.7,2.368,22.11,22.11
1958,1981-03-17,NA,NA,0,2.368,22.11,22.11
1958,1981-03-18,NA,NA,0,2.368,22.11,22.11
1958,1981-03-19,NA,NA,3,2.368,22.11,22.11
1958,1981-03-20,NA,NA,0,2.368,22.11,22.11
1958,1981-03-21,NA,NA,0,2.368,22.11,22.11
1958,1981-03-22,NA,NA,3.2,2.368,22.11,22.11
1958,1981-03-23,NA,NA,0,2.368,22.11,22.11
1958,1981-03-24,NA,NA,0,2.368,22.11,22.11
1958,1981-03-25,NA,NA,0.6,2.368,22.11,22.11
1958,1981-03-26,NA,NA,1.2,2.368,22.11,22.11
1958,1981-03-27,NA,NA,0,2.368,22.11,22.11
1958,1981-03-28,NA,NA,0,2.368,22.11,22.11
1958,1981-03-29,NA,NA,0,2.368,22.11,22.11
1958,1981-03-30,NA,NA,0,2.368,22.11,22.11
1958,1981-03-31,NA,NA,0,2.368,22.11,22.11
1958,1981-04-01,NA,NA,1.8,2.368,22.11,22.11
1958,1981-04-02,NA,NA,0,2.368,22.11,22.11
1958,1981-04-03,NA,NA,0.2,2.368,22.11,22.11
1958,1981-04-04,NA,NA,0,2.368,22.11,22.11
1958,1981-04-05,NA,NA,1.8,2.368,22.11,22.11
1958,1981-04-06,NA,NA,0,2.368,22.11,22.11
1958,1981-04-07,NA,NA,0,2.368,22.11,22.11
1958,1981-04-08,NA,NA,0,2.368,22.11,22.11
1958,1981-04-09,NA,NA,2.6,2.368,22.11,22.11
1958,1981-04-10,NA,NA,0,2.368,22.11,22.11
1958,1981-04-11,NA,NA,1,2.368,22.11,22.11
1958,1981-04-12,NA,NA,1,2.368,22.11,22.11
1958,1981-04-13,NA,NA,0,2.368,22.11,22.11
1958,1981-04-14,NA,NA,0,2.368,22.11,22.11
1958,1981-04-15,NA,NA,0.3,2.368,22.11,22.11
1958,1981-04-16,NA,NA,0,2.368,22.11,22.11
1958,1981-04-17,NA,NA,0,2.368,22.11,22.11
1958,1981-04-18,NA,NA,0,2.368,22.11,22.11
1958,1981-04-19,NA,NA,0,2.368,22.11,22.11
1958,1981-04-20,NA,NA,0,2.368,22.11,22.11
1958,1981-04-21,NA,NA,0,2.368,22.11,22.11
1958,1981-04-22,NA,NA,0,2.368,22.11,22.11
1958,1981-04-23,NA,NA,0,2.368,22.11,22.11
1958,1981-04-24,NA,NA,0,2.368,22.11,22.11
1958,1981-04-25,NA,NA,2.8,2.368,22.11,22.11
1958,1981-04-26,NA,NA,0,2.368,22.11,22.11
1958,1981-04-27,NA,NA,0,2.368,22.11,22.11
1958,1981-04-28,NA,NA,1,2.368,22.11,22.11
1958,1981-04-29,NA,NA,0,2.368,22.11,22.11
1958,1981-04-30,NA,NA,0,2.368,22.11,22.11
1958,1981-05-01,NA,NA,7,2.368,22.11,22.11
1958,1981-05-02,NA,NA,0,2.368,22.11,22.11
1958,1981-05-03,NA,NA,0,2.368,22.11,22.11
1958,1981-05-04,NA,NA,0,2.368,22.11,22.11
1958,1981-05-05,NA,NA,0,2.368,22.11,22.11
1958,1981-05-06,NA,NA,3.8,2.368,22.11,22.11
1958,1981-05-07,NA,NA,0,2.368,22.11,22.11
1958,1981-05-08,NA,NA,0,2.368,22.11,22.11
1958,1981-05-09,NA,NA,3.2,2.368,22.11,22.11
1958,1981-05-10,NA,NA,0,2.368,22.11,22.11
1958,1981-05-11,NA,NA,0,2.368,22.11,22.11
1958,1981-05-12,NA,NA,0,2.368,22.11,22.11
1958,1981-05-13,NA,NA,0,2.368,22.11,22.11
1958,1981-05-14,NA,NA,6,2.368,22.11,22.11
1958,1981-05-15,NA,NA,0,2.368,22.11,22.11
1958,1981-05-16,NA,NA,0,2.368,22.11,22.11
1958,1981-05-17,NA,NA,0,2.368,22.11,22.11
1958,1981-05-18,NA,NA,0,2.368,22.11,22.11
1958,1981-05-19,NA,NA,5.8,2.368,22.11,22.11
1958,1981-05-20,NA,NA,0,2.368,22.11,22.11
1958,1981-05-21,NA,NA,0,2.368,22.11,22.11
1958,1981-05-22,NA,NA,0,2.368,22.11,22.11
1958,1981-05-23,NA,NA,0,2.368,22.11,22.11
1958,1981-05-24,NA,NA,0,2.368,22.11,22.11
1958,1981-05-25,NA,NA,0,2.368,22.11,22.11
1958,1981-05-26,NA,NA,1.8,2.368,22.11,22.11
1958,1981-05-27,NA,NA,0,2.368,22.11,22.11
1958,1981-05-28,NA,NA,0.4,2.368,22.11,22.11
1958,1981-05-29,NA,NA,0,2.368,22.11,22.11
1958,1981-05-30,NA,NA,2.8,2.368,22.11,22.11
1958,1981-05-31,NA,NA,0.2,2.368,22.11,22.11
1958,1981-06-01,NA,NA,0,2.368,22.11,22.11
1958,1981-06-02,NA,NA,0,2.368,22.11,22.11
1958,1981-06-03,NA,NA,0.8,2.368,22.11,22.11
1958,1981-06-04,NA,NA,0,2.368,22.11,22.11
1958,1981-06-05,NA,NA,0,2.368,22.11,22.11
1958,1981-06-06,NA,NA,2.6,2.368,22.11,22.11
1958,1981-06-07,NA,NA,0,2.368,22.11,22.11
1958,1981-06-08,NA,NA,1.2,2.368,22.11,22.11
1958,1981-06-09,NA,NA,2.6,2.368,22.11,22.11
1958,1981-06-10,NA,NA,2.6,2.368,22.11,22.11
1958,1981-06-11,NA,NA,0.2,2.368,22.11,22.11
