stn,stn_nam,network,lat,lon,ele,styr,enyr,per_na_prcp,per_na_tmin,per_na_tmax
08GA071,ELAHO RIVER NEAR THE MOUTH,FRBC,50.119,-123.436,NA,2000,2011,5.851,100,100
08GE003,ICY CREEK NEAR THE MOUTH,FRBC,51.228,-125.671,NA,1998,2010,6.408,5.489,5.489
08GF005,KIPPAN CREEK NEAR THE MOUTH,FRBC,51.068,-126.358,NA,1999,2010,2.401,1.666,1.666
08GF006,MCALLISTER CREEK AT THOMPSON SOUND,FRBC,50.797,-126.01,NA,1999,2010,3.986,100,100
08HA069,RENFREW CREEK NEAR PORT RENFREW,FRBC,48.637,-124.292,NA,1999,2010,4.329,4.329,4.329
08HA070,HARRIS CREEK NEAR LAKE COWICHAN,FRBC,48.718,-124.226,NA,1999,2010,14.852,100,100
08HA072,COTTONWOOD CREEK HEADWATERS,FRBC,48.934,-124.25,NA,1999,2010,16.132,1.989,1.989
08HE007,CLANNINICK CREEK AT HEADWATERS,FRBC,50.102,-127.396,NA,1998,2009,3.364,3.621,3.621
08HE010,MCKELVIE CREEK ABOVE INTAKE,FRBC,49.933,-126.633,NA,1999,2010,7.055,100,100
08HE700,BENSON RIVER ABOVE BENSON LAKE,FRBC,50.38,-127.25,NA,1998,2012,37.198,100,100
08HE701,ZEBALLOS RIVER HEADWATERS,FRBC,50.14,-126.83,NA,1999,2009,25.971,24.479,24.479
08HF012,PUGH CREEK NEAR NAHWITTI LAKE,FRBC,50.735,-127.883,NA,1999,2010,0.868,0.843,0.843
08HF013,SIMPSON CREEK NEAR KOPRINO HARBOUR,FRBC,50.512,-127.843,NA,1999,2010,0.794,0.794,0.794
08JA022,Kenney Dam,RTA,53.58,-124.946,860,1992,2019,0,0,0
08JA028,Eutsuk,RTA,53.234,-126.113,860,1992,2013,0,0,0
08JA030,Tahtsa Intake,RTA,53.617,-127.696,860,1957,2019,0,0,0
10,ZZ SCOTT COVE,FLNRO-WMB,50.7,-126.3,7,1979,1994,54.097,53.99,53.99
1002,TS ELPHINSTONE,FLNRO-WMB,49.428,-123.565,593,2008,2023,7.945,100,100
101,MACHMELL (MB),FLNRO-WMB,51.593,-126.452,366,1997,2023,15.798,100,100
1011500,CHEMAINUS,ECCC,48.94,-123.74,75,1950,2023,21.074,55.579,55.579
1012055,LAKE COWICHAN,ECCC,48.83,-124.05,171,1960,2023,5.025,4.149,4.149
1012475,DISCOVERY ISLAND,ECCC,48.42,-123.23,18.9,1997,2023,98.741,41.644,41.644
1012710,ESQUIMALT HARBOUR,ECCC,48.43,-123.44,3,1957,2023,7.988,56.823,56.823
10130MN,GALIANO NORTH,ECCC,48.99,-123.57,6,1975,2021,4.436,5.076,5.076
1014820,MALAHAT,ECCC,48.57,-123.53,365.8,1991,2023,37.222,2.876,2.876
1015105,METCHOSIN,ECCC,48.37,-123.56,164,1968,2023,6.879,100,100
1015628,NORTH COWICHAN,ECCC,48.82,-123.72,45.7,1981,2023,1.003,100,100
1015630,NORTH COWICHAN,ECCC,48.82,-123.72,44.8,2007,2023,4.082,0.357,0.357
1015638,NORTH PENDER ISLAND,ECCC,48.76,-123.29,98,1972,2023,18.532,26.1,26.1
1016335,PORT RENFREW,ECCC,48.59,-124.33,10,1970,2022,14.934,14.939,14.939
1016640,RACE ROCKS,ECCC,48.3,-123.53,7.4,1995,2023,100,61.275,61.275
1016940,SAANICHTON CDA,ECCC,48.62,-123.42,61,1950,2023,0.764,0.382,0.382
1016995,SALTSPRING ST MARY'S L,ECCC,48.89,-123.55,45.7,1975,2022,2.091,2.278,2.278
1016RM0,SAANICHTON MT NEWTON,ECCC,48.6,-123.43,42.7,1980,2023,20.04,100,100
1017099,SATURNA CAPMON CS,ECCC,48.78,-123.13,178,1991,2023,36.481,40.8,40.8
1017101,SATURNA ISLAND CS,ECCC,48.78,-123.04,24.4,1980,2023,9.216,17.335,17.335
1017230,SHAWNIGAN LAKE,ECCC,48.65,-123.63,159,1950,2023,0.497,0.033,0.033
1017254,SHERINGHAM POINT,ECCC,48.38,-123.92,6.9,1992,2023,12.907,3.147,3.147
1018598,VICTORIA UNIVERSITY CS,ECCC,48.46,-123.3,60.1,1992,2023,5.532,0.079,0.079
1018611,VICTORIA GONZALES CS,ECCC,48.41,-123.32,61,1973,2023,42.524,41.145,41.145
1020590,BALLENAS ISLAND,ECCC,49.35,-124.16,14.5,1966,2023,6.686,61.799,61.799
1021261,CAMPBELL RIVER A,ECCC,49.95,-125.27,108.8,1965,2023,2.269,2.139,2.139
1021330,CAPE MUDGE,ECCC,50,-125.2,4.6,1978,2023,3.026,5.798,5.798
1021480,CHATHAM POINT,ECCC,50.33,-125.45,22.9,1958,2023,9.551,9.526,9.526
1021830,COMOX A,ECCC,49.72,-124.9,25.6,1950,2023,0,0,0
1021989,COURTENAY PUNTLEDGE,ECCC,49.69,-125.03,40,1984,2023,5.198,11.734,11.734
1022689,ENTRANCE ISLAND,ECCC,49.21,-123.81,7.6,1992,2023,25.901,10.919,10.919
1022795,FANNY ISLAND,ECCC,50.45,-125.99,5.2,2000,2023,11.562,5.51,5.51
1023462,HERIOT BAY SE,ECCC,50.1,-125.2,17,1984,2022,4.388,17.113,17.113
1024,SKOONKA,FLNRO-WMB,50.439,-121.552,1557,2008,2023,0.125,100,100
1024638,LITTLE QUALICUM HATCHERY,ECCC,49.35,-124.51,30,1981,2023,4.077,3.697,3.697
1025,TS THEODOSIA,FLNRO-WMB,50.103,-124.614,91,2008,2023,0.627,100,100
10253G0,NANAIMO CITY YARD,ECCC,49.2,-123.99,114,1981,2023,0.891,100,100
1026562,QUALICUM BEACH AIRPORT,ECCC,49.34,-124.39,58.2,2006,2023,5.486,0.829,0.829
1026565,QUALICUM R FISH RESEARCH,ECCC,49.39,-124.62,7.6,1962,2023,2.345,2.385,2.385
1026639,QUINSAM RIVER HATCHERY,ECCC,50.02,-125.3,45.7,1975,2023,2.589,4.379,4.379
1027403,SISTERS ISLAND,ECCC,49.49,-124.43,20,1992,2023,79.952,22.988,22.988
1029,FIVE MILE,FLNRO-WMB,50.911,-122.689,865,2008,2023,0.755,100,100
